layer,accuracy,roc_auc,probe
0,1.0,1.0,LogisticRegression(max_iter=5000)
1,1.0,1.0,LogisticRegression(max_iter=5000)
2,1.0,1.0,LogisticRegression(max_iter=5000)
3,1.0,1.0,LogisticRegression(max_iter=5000)
4,1.0,1.0,LogisticRegression(max_iter=5000)
5,1.0,1.0,LogisticRegression(max_iter=5000)
6,1.0,1.0,LogisticRegression(max_iter=5000)
7,1.0,1.0,LogisticRegression(max_iter=5000)
8,1.0,1.0,LogisticRegression(max_iter=5000)
9,1.0,1.0,LogisticRegression(max_iter=5000)
10,1.0,1.0,LogisticRegression(max_iter=5000)
11,1.0,1.0,LogisticRegression(max_iter=5000)
12,1.0,1.0,LogisticRegression(max_iter=5000)
13,1.0,1.0,LogisticRegression(max_iter=5000)
14,1.0,1.0,LogisticRegression(max_iter=5000)
15,1.0,1.0,LogisticRegression(max_iter=5000)
16,1.0,1.0,LogisticRegression(max_iter=5000)
17,1.0,1.0,LogisticRegression(max_iter=5000)
18,1.0,1.0,LogisticRegression(max_iter=5000)
19,1.0,1.0,LogisticRegression(max_iter=5000)
20,1.0,1.0,LogisticRegression(max_iter=5000)
21,1.0,1.0,LogisticRegression(max_iter=5000)
22,1.0,1.0,LogisticRegression(max_iter=5000)
23,1.0,1.0,LogisticRegression(max_iter=5000)
24,1.0,1.0,LogisticRegression(max_iter=5000)
